"COUNTRY","Country","SEX","Gender","AGE","Age","COUNTRY_ORIGIN","International students exclusion","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2010","2010",20.475,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2011","2011",24.353,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2012","2012",33.169,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2013","2013",33.031,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2014","2014",23.365,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2010","2010",15.442,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2011","2011",18.239,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2012","2012",23.805,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2013","2013",23.691,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2014","2014",16.196,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2005","2005",52.239,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2010","2010",58.353,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2011","2011",63.502,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2012","2012",66.91,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2013","2013",73.064,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2014","2014",72.759,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2005","2005",37.482,,
