,COU,Grad_rate,Labour_participation,Wage_gap,Managers,Board_seats,Parliament_seats,Childcare_cost,Maternity_leave,Paternity_leave
0,AUS,30.8731,65.48,15.4,8.9,23.1,26.0,22.5,6.0,2.0
1,AUT,25.00545,60.7,17.7,3.1,20.0,32.2,16.8,16.0,8.7
2,BEL,20.0313333333,51.76,3.3,5.9,27.0,39.3,5.8,15.0,19.3
3,BRA,,56.52,,4.5,6.0,9.9,,,
4,CHE,20.5442,72.08,16.9,6.2,13.2,31.0,77.7,16.0,0.0
5,CHL,22.69225,50.08,,1.7,4.7,15.8,,18.0,1.0
6,CHN,15.7068,,,,9.4,23.4,,,
7,COL,9.49875,57.7,9.6,,11.4,19.9,,,
8,CRI,17.497,49.12,5.2,,,33.3,,,
9,CZE,24.70555,54.1,16.3,3.3,9.0,19.5,10.6,28.0,0.0
10,DEU,16.5498421053,64.14,17.1,2.8,27.0,36.5,14.1,14.0,8.7
11,DNK,32.238,67.84,6.3,1.2,27.0,39.1,11.2,18.0,2.0
12,ESP,27.0284285714,58.0,,3.0,20.0,39.7,8.2,16.0,2.1
13,EST,,63.98,28.3,7.3,8.0,19.0,6.6,20.0,2.0
14,FIN,31.1043125,67.78,19.6,1.9,30.0,42.5,12.2,17.5,9.0
15,FRA,,56.8,,4.7,37.0,26.2,16.5,16.0,28.0
16,GBR,24.8857,65.14,17.4,7.9,27.0,22.6,,52.0,2.0
17,GRC,,46.94,9.1,2.6,9.0,21.0,4.9,43.0,0.4
18,HUN,19.05855,50.98,3.8,4.2,11.0,10.1,6.2,24.0,1.0
19,IDN,12.36475,,,,5.7,16.9,,,
20,IRL,,54.26,15.2,5.9,16.0,15.7,45.2,42.0,0.0
21,ISR,21.7105,62.96,,6.9,18.1,22.5,18.3,26.0,0.0
22,ITA,18.976,45.18,5.6,2.4,30.0,31.4,,21.7,0.2
23,JPN,30.839,58.12,25.9,0.6,3.4,8.1,28.1,14.0,52.0
24,KOR,0.834,51.72,36.7,0.4,2.1,16.3,15.2,12.9,52.6
25,LTU,38.120625,60.54,12.4,6.7,,24.1,,,
26,LUX,8.2482,51.6,4.1,1.4,13.0,28.3,8.7,16.0,26.4
27,LVA,25.41545,61.2,21.1,8.7,28.0,18.0,,,
28,MEX,12.873375,42.8,18.3,3.0,5.2,37.4,,12.0,1.0
29,NLD,22.19305,67.46,14.1,3.8,28.0,38.7,13.2,16.0,26.4
30,NOR,23.42145,70.74,6.3,5.6,41.0,39.6,16.8,17.0,14.0
31,NZL,29.51125,69.96,6.1,,22.5,29.8,28.6,14.0,0.0
32,POL,0.5435,50.62,11.1,5.4,20.0,24.3,7.1,26.0,2.0
33,PRT,27.5615625,58.18,18.9,5.3,14.0,31.3,7.7,6.4,21.3
34,RUS,41.731,58.5,,,,13.6,,,
35,SAU,7.93375,,,,,,,,
36,SVK,22.1136666667,52.0,14.4,3.0,14.0,18.7,7.4,34.0,0.0
37,SVN,28.61475,53.84,5.0,6.8,24.0,35.6,19.9,15.0,2.1
38,SWE,20.09955,73.5,,4.3,36.0,44.7,7.1,15.6,10.0
39,TUR,21.3915,29.66,6.9,2.3,12.0,14.4,,16.0,0.0
40,USA,32.0342,62.08,17.5,,16.4,19.3,38.1,0.0,0.0
41,ZAF,,44.28,,6.3,19.0,41.5,,,
42,CAN,,68.3,19.2,6.1,19.4,25.1,29.5,17.0,0.0
43,ISL,,82.08,13.6,7.5,44.0,39.7,7.9,13.0,13.0
44,OAVG,,55.9,,,20.0,27.4,,19.2,10.1
45,IND,,,,,11.4,11.4,,,
46,"OECD, ALL",,,,,,,18.4,,
47,UK,,,,,,,40.9,,
